,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
30,1.2106,0.24921588599681854,1.963525491562421e-05,1.1507760532150777,130,,,,,,,,,
31,1.22,0.27361932396888733,1.8842342755389172e-05,1.1951219512195121,135,,,,,,,,,
32,1.232,0.26274019479751587,1.803776152649088e-05,1.2394678492239468,140,,,,,,,,,
33,1.1953,0.2588765621185303,1.722395471567763e-05,1.2838137472283813,145,,,,,,,,,
34,1.2016,0.2672947347164154,1.6403393827486768e-05,1.328159645232816,150,,,,,,,,,
35,,,,1.328159645232816,150,1.2090144157409668,70.2395,11.005,2.762,,,,,
36,1.2031,0.2582099139690399,1.5578570878366656e-05,1.3725055432372506,155,,,,,,,,,
37,1.1809,0.26914286613464355,1.4751990828504623e-05,1.4168514412416853,160,,,,,,,,,
38,1.2142,0.27127307653427124,1.3926163974345199e-05,1.4611973392461197,165,,,,,,,,,
39,1.2058,0.2607954442501068,1.3103598324902307e-05,1.5055432372505542,170,,,,,,,,,
40,1.2023,0.2800450623035431,1.2286791985018356e-05,1.5498891352549888,175,,,,,,,,,
41,,,,1.5498891352549888,175,1.1990753412246704,70.3341,10.99,2.758,,,,,
42,1.1938,0.2798866927623749,1.1478225568701888e-05,1.5942350332594235,180,,,,,,,,,
43,1.1705,0.2726841866970062,1.0680354665584412e-05,1.6385809312638582,185,,,,,,,,,
44,1.1922,0.27355194091796875,9.895602383375355e-06,1.6829268292682928,190,,,,,,,,,
45,1.2016,0.28557705879211426,9.126351988963632e-06,1.7272727272727273,195,,,,,,,,,
46,1.1963,0.2859405279159546,8.37493967051439e-06,1.7716186252771617,200,,,,,,,,,
47,,,,1.7716186252771617,200,1.1921746730804443,70.7175,10.931,2.743,,,,,
48,1.1775,0.2740902900695801,7.643647442542383e-06,1.8159645232815964,205,,,,,,,,,
49,1.1773,0.281798779964447,6.934696215508828e-06,1.860310421286031,210,,,,,,,,,
50,1.1997,0.2767719328403473,6.250239050989408e-06,1.9046563192904657,215,,,,,,,,,
51,1.1873,0.28470003604888916,5.592354622896944e-06,1.9490022172949002,220,,,,,,,,,
52,1.1703,0.27021488547325134,4.963040904617131e-06,1.9933481152993349,225,,,,,,,,,
53,,,,1.9933481152993349,225,1.188123345375061,70.0659,11.032,2.769,,,,,
54,1.1834,0.27432408928871155,4.364209101228941e-06,2.035476718403548,230,,,,,,,,,
55,1.1742,0.2941608130931854,3.7976778452376966e-06,2.079822616407982,235,,,,,,,,,
56,1.1619,0.28306886553764343,3.2651676734478513e-06,2.1241685144124167,240,,,,,,,,,
57,1.1763,0.26851314306259155,2.7682958017493283e-06,2.1685144124168514,245,,,,,,,,,
58,1.197,0.291035532951355,2.308571213685967e-06,2.212860310421286,250,,,,,,,,,
59,,,,2.212860310421286,250,1.1860523223876953,70.1377,11.021,2.766,,,,,
60,1.1607,0.2788112163543701,1.887390077722117e-06,2.2572062084257207,255,,,,,,,,,
61,1.1811,0.28979820013046265,1.5060315071248932e-06,2.3015521064301554,260,,,,,,,,,
62,1.1802,0.2913334369659424,1.1656536753392288e-06,2.3458980044345896,265,,,,,,,,,
63,1.1994,0.28363656997680664,8.672902986531855e-07,2.3902439024390243,270,,,,,,,,,
64,1.19,0.28403496742248535,6.118474968355525e-07,2.434589800443459,275,,,,,,,,,
65,,,,2.434589800443459,275,1.1850945949554443,70.3921,10.981,2.756,,,,,
66,1.1615,0.2836737334728241,4.0010104127991385e-07,2.4789356984478936,280,,,,,,,,,
